mean_temp,max_temp,min_temp,LOESS_residuals
-4.597500000000001,2.36,-9.77,0.8329523282330169
-1.9262500000000011,8.92,-8.88,1.4125164021314145
0.27250000000000024,8.54,-7.73,1.581862225681223
0.6220833333333334,6.82,-1.36,-0.03841440819712738
-2.720416666666667,4.24,-8.58,-2.5769303652288924
-1.3412500000000003,6.97,-9.17,-0.542191864212568
-0.4274999999999996,5.86,-6.0,3.0915192843477017
-5.024166666666667,-0.3,-9.54,-0.09251789798945675
-6.854166666666665,1.36,-14.57,-4.261324709841496
-3.076666666666668,5.74,-10.03,-2.0176066797860046
2.290833333333333,8.75,-3.97,1.7843678213853658
5.215833333333333,11.6,0.51,5.130927436181121
2.854999999999999,11.58,-0.72,2.542509071233531
-4.848333333333332,-1.36,-7.84,-3.497719248209368
-7.278749999999999,4.17,-16.5,-4.449601496195861
0.39083333333333337,10.25,-7.63,1.8075549191696025
0.28249999999999975,10.72,-9.27,1.486040969512123
0.06583333333333312,10.36,-5.16,-0.4580611775068475
-1.042083333333334,7.31,-9.27,-2.728422587526242
0.4929166666666666,8.88,-7.0,-1.1360039505436286
3.4741666666666666,13.27,-3.96,3.5567504832601284
3.615,9.98,-2.79,4.3532926723840255
0.4945833333333332,6.09,-1.4,0.19086446861382675
-1.980833333333333,0.94,-5.09,-0.43296009752090103
-2.1095833333333336,-0.36,-4.56,-1.1992639974272992
-0.9804166666666662,2.62,-2.88,-1.0547734726299174
-1.2899999999999998,0.02,-2.31,-1.2273343817637496
-3.799166666666666,0.91,-9.69,-3.065367833475076
-0.6166666666666666,5.57,-7.08,-0.5793138578998882
2.0679166666666666,6.7,-3.62,1.7431815574735654
-1.7441666666666669,7.31,-6.46,-0.1504515184128697
-0.3166666666666665,7.86,-7.37,0.596863354696443
3.698333333333333,9.25,-2.18,3.815053848784084
1.6325000000000003,8.45,-4.12,1.453328133419879
1.2987499999999998,6.18,-3.73,1.7525823584163818
-0.9566666666666667,4.78,-5.96,-1.4722612789636984
-3.460833333333332,-0.73,-6.13,-3.348058464023897
-5.26625,-0.07,-12.13,-3.488741129103897
-3.243333333333334,-0.57,-8.34,-2.1678366774611453
-3.167500000000001,5.31,-11.88,-2.8473880218662413
2.5550000000000006,12.31,-5.02,1.876745744588937
3.5533333333333332,13.63,-5.83,2.3921474306246164
6.480833333333333,15.17,-1.42,2.7996003629944397
5.740416666666667,14.08,-1.18,1.6604062330586489
6.127916666666668,14.17,-2.84,2.5272715447434235
3.8945833333333333,12.63,-0.31,0.040589291925779314
0.59125,3.56,-0.71,-2.190996627728525
-1.4895833333333337,2.35,-6.33,-4.445454441356515
-0.05458333333333328,10.9,-8.49,-2.806929283807128
5.740833333333334,15.13,-2.5,-0.12785213063682033
8.269166666666667,19.23,-2.32,1.0481101851209003
9.117500000000001,18.59,-1.0,0.8368944127460605
10.831666666666665,18.57,0.16,1.7633915407086072
10.7275,18.2,3.13,3.456082955238635
9.229583333333332,17.59,1.57,2.983326550490599
5.15,14.5,-1.08,-0.5266343862041154
6.110833333333333,15.63,-3.25,-2.6517524203920697
8.535833333333333,17.88,-2.39,-0.784137356549329
9.693333333333333,17.82,0.88,0.8287247499598278
9.054166666666667,17.43,2.17,0.4388534549308769
5.186249999999999,12.79,0.42,-0.3813876374374816
4.153333333333332,12.63,-3.68,1.2067040890361627
4.0325,11.52,-1.1,1.4640936462659555
6.16,12.53,1.56,0.11575542609783884
4.261666666666668,10.95,-4.59,-2.5088458286569004
3.6316666666666664,11.8,-5.46,-2.300096186903387
6.355416666666668,14.05,-1.1,0.7584265929986413
3.4158333333333335,7.7,-2.06,0.17118946593092943
-1.3362499999999997,0.75,-2.46,-2.657971071730111
1.5320833333333328,12.78,-4.9,-0.5094422326345294
9.142083333333334,18.45,-0.07,3.3810510050832816
10.666666666666666,18.81,2.47,4.763392935900548
6.477916666666665,17.17,0.29,1.7140521138088443
1.8520833333333335,4.77,-0.59,-2.196652043931326
-1.4312499999999997,0.58,-3.2,-3.552191451088342
-2.4299999999999997,1.64,-4.89,-3.018842114763999
-0.6662500000000008,7.48,-9.56,-2.5674665683432814
3.6758333333333333,11.25,-2.44,-2.4350935335102006
6.783333333333334,17.21,-3.05,-0.5700712775372372
8.936250000000001,16.38,0.48,0.684762670330799
9.722083333333334,19.67,0.17,0.6827348266705666
12.079166666666666,21.19,3.37,3.791025035027067
12.227916666666667,19.49,4.34,4.106790769981151
11.522916666666665,20.21,3.8,2.4301421055834993
11.9525,18.21,5.78,0.6267894721729146
8.022916666666665,15.28,4.78,-3.567641617448791
8.853333333333333,19.14,2.3,-3.3956261709162145
11.188333333333334,17.67,3.42,-1.1571074694138002
9.979999999999999,14.26,6.1,-0.7467761827826624
11.792916666666668,18.13,6.18,1.8080451201247278
12.342916666666666,18.1,5.1,2.514327219993973
12.508333333333331,18.03,8.59,1.6018101660112851
13.594166666666666,20.89,5.67,2.591927701995621
13.987916666666665,22.07,6.45,1.7724978358171004
12.907916666666665,20.5,6.72,0.5486326761626295
6.461249999999999,12.56,3.22,-4.040682185010533
3.4424999999999994,8.17,-0.5,-5.126827677118195
5.250416666666667,10.97,-2.48,-1.7694799941430084
7.699999999999998,14.95,-0.1,-0.30858708487921405
